convert_from,convert_to,to_foreign_rate,convert_usd_to_foreign,to_usd_rate,convert_foreign_to_usd
US Dollar,Albanian Lek,107.35,USD ALL,0.009,ALL USD
US Dollar,British Pound,0.83,USD GBP,1.205,GBP USD
US Dollar,Bulgarian Lev,1.841,USD BGN,0.543,BGN USD
US Dollar,Croatian Kuna,7.1,USD HRK,0.141,HRK USD
US Dollar,Czech Koruna,22.793,USD CZK,0.044,CZK USD
US Dollar,Danish Krone,7.007,USD DKK,0.143,DKK USD
US Dollar,Euro,0.937,USD EUR,1.067,EUR USD
US Dollar,Hungarian Forint,377.27,USD HUF,0.003,HUF USD
US Dollar,Icelandic Krona,143.46,USD ISK,0.007,ISK USD
US Dollar,Kazakhstan Tenge,461.71,USD KZT,0.002,KZT USD
US Dollar,Macedonian Denar,57.969,USD MKD,0.017,MKD USD
US Dollar,Moldovan Leu,19.199,USD MDL,0.052,MDL USD
US Dollar,Norwegian Krone,9.931,USD NOK,0.101,NOK USD
US Dollar,Polish Zloty,4.371,USD PLN,0.229,PLN USD
US Dollar,Romanian Leu,4.627,USD RON,0.216,RON USD
US Dollar,Russian Rouble,70.25,USD RUB,0.014,RUB USD
US Dollar,Swedish Krona,10.532,USD SEK,0.095,SEK USD
US Dollar,Swiss Franc,0.933,USD CHF,1.071,CHF USD
US Dollar,Turkish Lira,18.666,USD TRY,0.054,TRY USD
US Dollar,Ukraine Hryvnia,36.924,USD UAH,0.027,UAH USD
US Dollar,Argentine Peso,173.94,USD ARS,0.006,ARS USD
US Dollar,Aruba Florin,1.802,USD AWG,0.555,AWG USD
US Dollar,Bahamian Dollar,1,USD BSD,1,BSD USD
US Dollar,Barbadian Dollar,2,USD BBD,0.5,BBD USD
US Dollar,Belize Dollar,2.015,USD BZD,0.496,BZD USD
US Dollar,Bermuda Dollar,1,USD BMD,1,BMD USD
US Dollar,Bolivian Boliviano,6.909,USD BOB,0.145,BOB USD
US Dollar,Brazilian Real,5.166,USD BRL,0.194,BRL USD
US Dollar,Canadian Dollar,1.364,USD CAD,0.733,CAD USD
US Dollar,Cayman Islands Dollar,0.833,USD KYD,1.2,KYD USD
US Dollar,Chilean Peso,878,USD CLP,0.001,CLP USD
US Dollar,Colombian Peso,4734.1,USD COP,0.00021,COP USD
US Dollar,Costa Rica Colon,581.87,USD CRC,0.002,CRC USD
US Dollar,Dominican Peso,55.75,USD DOP,0.018,DOP USD
US Dollar,East Caribbean Dollar,2.703,USD XCD,0.37,XCD USD
